,date,au_price,au_open,au_high,au_low,au_change_percent
1133,2015-07-16,"1,149.65","1,155.50","1,156.96","1,143.43",-0.51%
1134,2015-07-15,"1,155.53","1,157.56","1,159.96","1,152.54",-0.21%
1135,2015-07-14,"1,158.00","1,162.90","1,164.60","1,150.78",-0.51%
1136,2015-07-13,"1,163.96","1,159.35","1,165.50","1,157.50",0.37%
1137,2015-07-10,"1,159.65","1,158.12","1,167.46","1,155.70",0.12%
1138,2015-07-09,"1,158.28","1,154.75","1,165.03","1,146.75",0.24%
1139,2015-07-08,"1,155.55","1,170.10","1,170.65","1,148.05",-1.25%
1140,2015-07-07,"1,170.15","1,172.80","1,175.20","1,162.80",0.19%
1141,2015-07-06,"1,167.94","1,165.79","1,170.50","1,164.46",0.15%
1142,2015-07-03,"1,166.15","1,168.40","1,169.11","1,156.85",-0.23%
1143,2015-07-02,"1,168.80","1,172.40","1,175.30","1,167.13",-0.32%
1144,2015-07-01,"1,172.60","1,179.66","1,180.80","1,166.35",-0.66%
1145,2015-06-30,"1,180.36","1,184.56","1,187.32","1,173.59",0.45%
1146,2015-06-29,"1,175.07","1,172.86","1,179.09","1,168.25",0.15%
1147,2015-06-26,"1,173.33","1,174.79","1,178.70","1,171.02",-0.16%
1148,2015-06-25,"1,175.20","1,177.85","1,180.30","1,171.03",-0.27%
1149,2015-06-24,"1,178.44","1,185.36","1,188.70","1,175.82",-0.59%
1150,2015-06-23,"1,185.45","1,199.86","1,201.50","1,181.90",-1.25%
1151,2015-06-22,"1,200.51","1,201.61","1,204.75","1,197.95",-0.08%
1152,2015-06-19,"1,201.42","1,184.76","1,206.00","1,183.31",1.35%
1153,2015-06-18,"1,185.45","1,181.50","1,189.40","1,174.08",0.30%
1154,2015-06-17,"1,181.86","1,185.65","1,188.11","1,175.73",-0.38%
1155,2015-06-16,"1,186.40","1,181.00","1,190.80","1,172.52",0.47%
1156,2015-06-15,"1,180.80","1,181.51","1,184.70","1,176.43",-0.13%
